GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,DGSTFN,VISIT_AREA_NM_CODE
0,30.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,9.0,4.0,8,아침고요수목원,1,5.0,5629
1,50.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,1,두타.밀리오레,4,5.0,2556
1,20.0,5.0,1.0,1.0,4.0,4.0,4.0,2.0,7.0,3.0,1.0,4,남산공원,1,4.0,1644
0,20.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,2.0,3,봄날아트홀,3,4.0,3735
1,20.0,4.0,3.0,2.0,2.0,6.0,2.0,2.0,5.0,7.0,0.0,22,빈티지패션팩토리 용인본점,4,3.0,3996
0,30.0,3.0,1.0,1.0,4.0,7.0,2.0,7.0,7.0,1.0,5.0,2,에버랜드,6,5.0,5915
0,30.0,4.0,1.0,4.0,4.0,1.0,4.0,7.0,4.0,7.0,1.0,2,여의도한강공원,1,4.0,6054
0,20.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,1.0,1.0,1,파주프리미엄아울렛,4,4.0,9008
0,20.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,1.0,22,두물머리,1,4.0,2545
1,20.0,6.0,2.0,2.0,6.0,2.0,2.0,6.0,5.0,1.0,0.0,1,경의선책거리,4,4.0,589
1,20.0,1.0,1.0,1.0,4.0,4.0,5.0,2.0,6.0,2.0,0.0,8,율동공원,1,5.0,7016
0,20.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,5.0,1.0,10,망원한강공원,1,4.0,2980
1,50.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,6,오이도 빨강등대,7,4.0,6351
0,40.0,1.0,3.0,2.0,4.0,6.0,6.0,6.0,6.0,8.0,2.0,11,철원한탄강 주상절리길,1,4.0,8379
0,40.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,2,오이도,1,4.0,6348
0,20.0,3.0,2.0,1.0,6.0,6.0,3.0,2.0,6.0,3.0,3.0,2,제이드가든수목원,1,5.0,7758
0,30.0,4.0,4.0,1.0,1.0,4.0,7.0,1.0,7.0,7.0,1.0,8,시흥오이도박물관,2,5.0,5330
0,50.0,6.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,0.0,3,롯데몰 수원점,4,4.0,2760
1,30.0,3.0,1.0,1.0,4.0,3.0,4.0,1.0,5.0,8.0,0.0,3,장안공원 화서문,2,4.0,7523
1,20.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,1.0,3,오이도 바다,7,5.0,6349
1,30.0,2.0,5.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,21,여의도한강공원,1,5.0,6054
1,40.0,2.0,6.0,2.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,6,동대문 문구완구시장,4,3.0,2424
0,40.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,2.0,21,물의정원,7,5.0,3316
0,30.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,6.0,3.0,3.0,2,이정웅 스페이스,3,4.0,7229
1,20.0,6.0,1.0,3.0,6.0,5.0,6.0,1.0,7.0,1.0,0.0,4,전쟁기념관,2,5.0,7615
1,20.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,6.0,3.0,1.0,21,경춘선 시간여행 거리,4,4.0,654
1,30.0,4.0,1.0,3.0,3.0,2.0,3.0,6.0,3.0,7.0,0.0,4,판교환경생태학습원,3,4.0,9013
1,40.0,3.0,1.0,5.0,4.0,1.0,4.0,2.0,6.0,1.0,0.0,6,인천세관역사공원,2,5.0,7358
0,40.0,3.0,2.0,5.0,2.0,3.0,2.0,1.0,6.0,10.0,2.0,2,화담숲,1,5.0,9873
0,30.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,7.0,5.0,1.0,22,이천 문화의거리,4,3.0,7235
0,30.0,4.0,5.0,2.0,2.0,2.0,6.0,6.0,2.0,3.0,1.0,5,남이섬,1,4.0,1680
1,20.0,6.0,1.0,2.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,6,일산호수공원,1,4.0,7389
0,50.0,6.0,6.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,0.0,1,인터컨티넨탈 서울코엑스,3,4.0,7374
1,30.0,2.0,1.0,2.0,6.0,2.0,3.0,2.0,6.0,3.0,3.0,1,새마을전통시장,4,4.0,4271
0,30.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,6.0,3.0,2.0,23,탄도항,1,5.0,8807
0,40.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,8.0,4.0,3,웨스틴조선 수영장,6,5.0,6915
0,20.0,6.0,1.0,6.0,5.0,5.0,6.0,2.0,2.0,1.0,0.0,3,롯데백화점 청량리점,4,4.0,2788
0,30.0,3.0,2.0,5.0,5.0,2.0,4.0,6.0,7.0,5.0,1.0,21,한강중앙공원,1,5.0,9352
0,20.0,1.0,2.0,1.0,6.0,4.0,3.0,6.0,5.0,4.0,0.0,28,청계산,1,5.0,8397
1,30.0,1.0,2.0,4.0,6.0,6.0,3.0,2.0,6.0,8.0,0.0,3,수원팔색길 화성성곽길,1,4.0,5115
1,40.0,2.0,2.0,2.0,6.0,3.0,3.0,5.0,5.0,8.0,0.0,3,화성관광열차안내소 연무대매표소,6,2.0,9892
0,30.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,0.0,1,그랜드워커힐서울 컨벤션센터,3,3.0,1303
0,30.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,7.0,1.0,1.0,22,LCDC서울,4,5.0,167
1,20.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,7.0,1.0,4.0,5,워터플레이 수상레저,5,5.0,6794
0,30.0,4.0,1.0,4.0,3.0,5.0,6.0,2.0,2.0,8.0,0.0,3,일산호수공원,1,5.0,7389
1,20.0,2.0,2.0,1.0,6.0,3.0,2.0,6.0,2.0,7.0,1.0,2,허브아일랜드,6,4.0,9679
1,30.0,2.0,1.0,2.0,6.0,2.0,3.0,2.0,6.0,3.0,3.0,1,잠실한강공원,1,4.0,7477
1,30.0,1.0,1.0,7.0,4.0,1.0,4.0,4.0,1.0,1.0,0.0,3,화성행궁광장,2,5.0,9902
1,20.0,2.0,2.0,2.0,3.0,5.0,4.0,6.0,7.0,2.0,1.0,1,스타필드 하남,4,3.0,5260
0,20.0,4.0,1.0,4.0,6.0,2.0,6.0,1.0,2.0,1.0,0.0,10,금융감독원,7,4.0,1395
0,30.0,4.0,7.0,2.0,5.0,6.0,7.0,7.0,7.0,1.0,0.0,1,경기도남한산성세계유산센터,2,5.0,535
1,30.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,0.0,3,노원문화의거리,4,4.0,1793
1,30.0,1.0,2.0,3.0,4.0,1.0,4.0,7.0,5.0,1.0,0.0,3,카페시차,1,4.0,8684
0,20.0,4.0,1.0,1.0,2.0,3.0,5.0,3.0,6.0,3.0,1.0,22,에버랜드,6,3.0,5915
0,30.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,6.0,4.0,0.0,6,잠실종합운동장 실내체육관,5,5.0,7474
0,20.0,7.0,7.0,5.0,1.0,5.0,5.0,3.0,3.0,7.0,0.0,11,국립현대미술관 서울관,3,5.0,1204
1,40.0,1.0,6.0,1.0,4.0,4.0,5.0,5.0,7.0,5.0,1.0,22,낙천지,1,3.0,1595
0,30.0,4.0,1.0,4.0,6.0,2.0,4.0,3.0,3.0,1.0,1.0,6,송도센트럴파크,1,5.0,4973
0,50.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,5.0,3.0,1.0,1,낙생대공원,1,5.0,1584
0,30.0,6.0,6.0,2.0,7.0,7.0,7.0,1.0,3.0,8.0,1.0,25,남산케이블카,6,4.0,1650
1,20.0,6.0,2.0,1.0,3.0,5.0,3.0,1.0,7.0,7.0,1.0,6,서울특별시 광진구 광장동 워커힐 가는 산책로,7,4.0,4483
0,60.0,3.0,7.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,4,의정부음악도서관,3,4.0,7080
0,60.0,1.0,1.0,7.0,5.0,5.0,6.0,7.0,4.0,3.0,1.0,3,화성행궁,2,5.0,9900
0,30.0,7.0,7.0,7.0,7.0,1.0,7.0,4.0,7.0,3.0,3.0,2,월미테마파크,6,4.0,6877
0,30.0,3.0,3.0,2.0,6.0,2.0,2.0,6.0,4.0,1.0,0.0,3,AK플라자 AKTown점,4,4.0,56
1,50.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,3.0,2.0,4,인천차이나타운,4,4.0,7367
0,40.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,1,동작구민체육센터,5,4.0,2501
1,40.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,3.0,7.0,2.0,6,일산호수공원,1,5.0,7389
0,20.0,1.0,1.0,4.0,3.0,6.0,2.0,1.0,5.0,3.0,7.0,22,롯데마트 제타플렉스,4,5.0,2750
0,50.0,1.0,4.0,4.0,1.0,1.0,7.0,1.0,7.0,3.0,2.0,2,배부장찌개 광교법조단지점,4,5.0,3522
1,50.0,6.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,7.0,0.0,21,부평문화의거리,4,4.0,3860
0,30.0,1.0,1.0,1.0,2.0,3.0,2.0,6.0,6.0,7.0,0.0,3,화성행궁,2,5.0,9900
0,20.0,6.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,1.0,1.0,26,여의도한강공원,1,5.0,6054
0,40.0,2.0,1.0,7.0,2.0,1.0,7.0,2.0,6.0,4.0,0.0,3,흥인지문.광장시장,4,4.0,10076
1,20.0,3.0,2.0,1.0,7.0,5.0,4.0,2.0,7.0,7.0,0.0,2,아트스페이스J,3,5.0,5656
0,30.0,3.0,1.0,3.0,3.0,4.0,4.0,7.0,6.0,1.0,0.0,3,화성행궁,2,4.0,9900
0,40.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,7.0,3,흥인지문공원,1,5.0,10077
0,20.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,7.0,6.0,2.0,23,양재동꽃시장,4,3.0,5847
1,40.0,3.0,2.0,5.0,4.0,3.0,5.0,3.0,5.0,2.0,1.0,1,이마트 포천점,4,5.0,7169
0,50.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,6.0,10.0,1.0,21,재인폭포,1,5.0,7560
1,20.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,4,틴틴홀,3,5.0,8974
1,20.0,6.0,1.0,3.0,2.0,1.0,6.0,2.0,7.0,3.0,1.0,1,인천도시역사관,2,5.0,7349
1,20.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,6.0,6.0,0.0,7,이촌한강공원,1,4.0,7243
1,20.0,4.0,1.0,3.0,2.0,3.0,4.0,6.0,4.0,7.0,1.0,6,마포 걷고싶은길 4코스,7,5.0,2923
0,20.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,0.0,6,반포한강공원 달빛광장,1,4.0,3479
1,60.0,1.0,4.0,4.0,3.0,1.0,2.0,7.0,3.0,2.0,3.0,3,용산역사박물관,2,5.0,6611
1,20.0,7.0,1.0,1.0,1.0,7.0,7.0,1.0,4.0,3.0,1.0,1,AK플라자 AKTown점,4,5.0,56
0,40.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,2,롯데월드,6,4.0,2830
0,20.0,2.0,1.0,6.0,1.0,2.0,7.0,7.0,7.0,1.0,1.0,7,신세계백화점 강남점,4,4.0,5383
1,20.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,25,수정사우나,3,3.0,5141
0,30.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,7.0,3.0,2.0,3,전통술박물관산사원 본원,2,5.0,7662
0,20.0,5.0,2.0,5.0,3.0,3.0,6.0,6.0,2.0,1.0,0.0,3,드라마 “그해우리는” 촬영지,2,4.0,2571
0,20.0,7.0,2.0,2.0,1.0,4.0,5.0,3.0,5.0,3.0,1.0,2,현대백화점 판교점,4,4.0,9712
0,30.0,1.0,1.0,1.0,3.0,3.0,2.0,6.0,6.0,1.0,0.0,3,하이커그라운드,3,4.0,9322
0,20.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,6.0,2.0,0.0,6,수원시립미술관,3,4.0,5102
1,30.0,6.0,6.0,6.0,2.0,2.0,6.0,2.0,3.0,1.0,5.0,25,베이커리 씨어터 수목원,1,3.0,3615
0,50.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,4.0,0.0,13,흑석시장,4,5.0,10070
0,20.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,7.0,6.0,2.0,23,힐튼가든인 서울강남점,5,5.0,10098
0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,22,콤콤오락실,4,5.0,8753
1,20.0,6.0,1.0,3.0,6.0,5.0,6.0,1.0,7.0,1.0,0.0,4,동대문 문구완구시장,4,5.0,2424
0,30.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,7.0,3.0,3.0,2,신세계백화점 강남점,4,4.0,5383
0,30.0,5.0,1.0,2.0,2.0,2.0,3.0,6.0,6.0,1.0,3.0,23,남한산성둘레길 2코스,7,5.0,1709
0,30.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,7.0,3.0,1.0,8,자라섬,1,5.0,7429
0,30.0,4.0,4.0,2.0,1.0,4.0,6.0,5.0,3.0,2.0,0.0,3,수원화성 화홍문 안내소,2,3.0,5134
0,30.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,6.0,3.0,1.0,1,경복궁,2,5.0,560
1,20.0,5.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,1.0,0.0,1,서울어린이대공원 동물원,6,5.0,4469
0,30.0,2.0,2.0,1.0,6.0,7.0,6.0,2.0,7.0,3.0,3.0,21,가락동농수산물도매시장 수산시장,4,5.0,240
0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1,남사화훼집하장,4,5.0,1640
0,50.0,1.0,4.0,4.0,1.0,1.0,7.0,1.0,7.0,3.0,2.0,2,당거쉼터,7,5.0,1991
0,50.0,6.0,2.0,4.0,2.0,6.0,4.0,2.0,6.0,7.0,0.0,1,숭례문,2,4.0,5204
0,40.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,1.0,0.0,6,경복궁,2,5.0,560
0,40.0,1.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,1.0,4.0,22,복골캠프,7,4.0,3726
0,20.0,4.0,4.0,1.0,1.0,4.0,7.0,7.0,7.0,9.0,2.0,9,이태원역교차로,8,5.0,7258
1,30.0,3.0,2.0,1.0,5.0,6.0,5.0,5.0,5.0,9.0,1.0,23,석촌호수 동호,1,5.0,4566
1,20.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,4,엔터식스 왕십리역점,4,5.0,5984
0,30.0,2.0,2.0,1.0,6.0,7.0,1.0,2.0,3.0,7.0,0.0,2,우장산공원산책길,7,5.0,6703
0,20.0,3.0,2.0,1.0,1.0,4.0,6.0,2.0,7.0,2.0,0.0,9,화담숲 곤충생태관,1,4.0,9874
1,30.0,4.0,2.0,2.0,1.0,3.0,1.0,6.0,6.0,5.0,1.0,1,현대프리미엄아울렛 김포점,4,4.0,9721
0,20.0,2.0,1.0,3.0,3.0,5.0,5.0,2.0,3.0,7.0,0.0,3,청계천,7,4.0,8400
1,20.0,6.0,2.0,1.0,7.0,6.0,3.0,3.0,3.0,1.0,1.0,3,방화수류정,2,3.0,3509
0,40.0,5.0,1.0,3.0,2.0,2.0,6.0,4.0,5.0,3.0,3.0,8,신세계프리미엄아울렛 여주,4,4.0,5401
0,20.0,4.0,4.0,1.0,1.0,4.0,7.0,7.0,7.0,9.0,2.0,9,이태원거리,4,4.0,7254
1,60.0,1.0,4.0,4.0,3.0,1.0,2.0,7.0,3.0,2.0,3.0,3,창덕궁,2,5.0,8239
1,30.0,7.0,1.0,4.0,2.0,1.0,4.0,6.0,7.0,2.0,1.0,7,펀시티,6,5.0,9062
0,20.0,3.0,3.0,4.0,2.0,3.0,6.0,3.0,6.0,3.0,3.0,2,화담숲,1,5.0,9873
1,50.0,2.0,2.0,5.0,4.0,2.0,2.0,6.0,3.0,1.0,2.0,25,오산천,7,5.0,6319
1,20.0,4.0,2.0,1.0,6.0,1.0,7.0,2.0,7.0,3.0,2.0,2,AK& 홍대,4,5.0,55
0,20.0,5.0,2.0,4.0,3.0,5.0,3.0,3.0,7.0,1.0,0.0,1,현대카드 쿠킹라이브러리,3,4.0,9720
1,20.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,5.0,2.0,1.0,1,미사경정공원,1,4.0,3355
0,30.0,4.0,2.0,6.0,1.0,4.0,6.0,1.0,5.0,1.0,1.0,6,선창수산,4,5.0,4621
1,30.0,4.0,3.0,4.0,1.0,1.0,5.0,7.0,3.0,3.0,1.0,3,서울뷰티위크,8,5.0,4439
1,20.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,0.0,3,경기대학교 서울캠퍼스,7,4.0,534
1,20.0,5.0,1.0,2.0,4.0,5.0,4.0,2.0,3.0,7.0,1.0,24,스타필드 하남,4,4.0,5260
1,40.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1,경기도어린이박물관,2,5.0,538
1,60.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,3.0,1.0,3,한양도성박물관,2,5.0,9473
1,40.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,6.0,3.0,1.0,1,에버랜드,6,4.0,5915
1,30.0,7.0,1.0,5.0,3.0,3.0,5.0,6.0,4.0,8.0,0.0,3,덕수궁,2,5.0,2283
0,20.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1,김포한강야생조류생태공원,1,4.0,1484
1,40.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,7.0,3.0,1.0,3,화성행궁,2,3.0,9900
1,30.0,5.0,2.0,2.0,5.0,6.0,4.0,6.0,3.0,1.0,1.0,1,청계천,7,5.0,8400
0,30.0,2.0,3.0,1.0,6.0,6.0,4.0,2.0,4.0,2.0,0.0,25,배곧생명공원,1,5.0,3510
0,60.0,3.0,4.0,5.0,2.0,2.0,5.0,6.0,6.0,8.0,0.0,22,신포국제시장,4,4.0,5446
1,20.0,4.0,2.0,1.0,6.0,1.0,7.0,2.0,7.0,3.0,2.0,2,홍대 ak위드뮤m,4,5.0,9829
0,20.0,2.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,2,벽초지수목원,1,5.0,3630
0,40.0,3.0,4.0,2.0,4.0,6.0,5.0,6.0,3.0,3.0,3.0,2,국립중앙박물관,2,4.0,1184
1,30.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,1.0,2,보광사,2,3.0,3659
1,20.0,7.0,1.0,7.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,23,롯데월드 어드벤처,6,5.0,2833
0,30.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,7.0,0.0,5,자라섬,1,4.0,7429
0,40.0,2.0,4.0,4.0,4.0,7.0,4.0,4.0,7.0,4.0,0.0,3,광화문광장,4,5.0,992
0,40.0,6.0,3.0,3.0,4.0,5.0,5.0,2.0,6.0,8.0,5.0,3,신덕고개,7,4.0,5342
0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,23,롯데백화점 본점,4,5.0,2775
0,20.0,4.0,3.0,5.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,23,수원화성,2,4.0,5117
0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,2.0,0.0,21,아이스타일,3,3.0,5614
1,30.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3,수원화성미디어아트쇼,8,4.0,5136
0,30.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,3.0,10.0,3.0,1,수원천,7,3.0,5112
1,40.0,1.0,4.0,1.0,3.0,2.0,6.0,3.0,2.0,7.0,1.0,2,롯데월드,6,5.0,2830
1,30.0,1.0,1.0,7.0,4.0,1.0,4.0,4.0,1.0,1.0,0.0,3,팔달문시장,4,4.0,9026
1,30.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,6.0,7.0,1.0,12,수원통닭거리,4,5.0,5114
1,40.0,1.0,1.0,1.0,3.0,7.0,2.0,2.0,5.0,1.0,3.0,23,킨텍스 제2전시장,3,5.0,8794
1,60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,4.0,9,용봉산,2,5.0,6604
0,30.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,21,비둘기낭폭포,1,5.0,3948
0,30.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,6.0,2.0,0.0,21,두물머리,1,5.0,2545
1,30.0,2.0,1.0,3.0,5.0,3.0,6.0,2.0,3.0,1.0,1.0,5,물향기수목원,1,5.0,3323
1,30.0,3.0,5.0,1.0,6.0,2.0,2.0,6.0,7.0,4.0,0.0,22,운현궁,2,5.0,6737
1,40.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1,타임테라스 A블럭,4,5.0,8801
1,30.0,7.0,1.0,1.0,1.0,7.0,7.0,2.0,4.0,1.0,0.0,2,코엑스 아쿠아리움,6,4.0,8745
0,20.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,6.0,1.0,0.0,6,코지블루,4,5.0,8749
0,20.0,4.0,3.0,3.0,4.0,5.0,5.0,7.0,3.0,1.0,0.0,6,국립민속박물관,2,5.0,1132
0,20.0,2.0,2.0,1.0,2.0,6.0,2.0,6.0,2.0,1.0,1.0,2,에버랜드 판다월드,6,5.0,5929
0,20.0,7.0,2.0,3.0,2.0,2.0,6.0,2.0,5.0,2.0,3.0,4,DMZ 장단콩두부마을,7,4.0,118
1,30.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,27,마장호수출렁다리,1,4.0,2914
0,20.0,3.0,2.0,3.0,4.0,6.0,5.0,5.0,5.0,1.0,0.0,6,잠실종합운동장 올림픽주경기장,5,5.0,7475
0,30.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,6.0,1.0,1.0,1,신세계프리미엄아울렛 여주,4,4.0,5401
1,20.0,4.0,1.0,1.0,2.0,1.0,1.0,7.0,4.0,1.0,1.0,6,인천 개항장문화재야행,8,4.0,7332
1,40.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,7.0,10.0,0.0,1,신라아이파크면세점,4,3.0,5356
0,30.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,6.0,1.0,1.0,6,석촌호수 서호,1,5.0,4567
1,20.0,6.0,3.0,6.0,6.0,2.0,6.0,1.0,3.0,8.0,0.0,21,용암천,1,4.0,6622
0,60.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,1,현대프리미엄아울렛 스페이스원,4,4.0,9725
0,40.0,1.0,4.0,6.0,3.0,1.0,4.0,4.0,1.0,2.0,0.0,2,국립수목원 열대식물자원연구센터,1,5.0,1158
0,20.0,6.0,2.0,4.0,6.0,3.0,2.0,7.0,5.0,7.0,0.0,6,석촌호수 동호,1,4.0,4566
0,20.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0,3,수원화성 화홍문,2,3.0,5132
1,40.0,3.0,1.0,2.0,3.0,7.0,4.0,2.0,7.0,2.0,1.0,3,가평잣고을시장,4,5.0,277
0,40.0,1.0,7.0,5.0,5.0,1.0,5.0,1.0,7.0,6.0,0.0,5,동탄호수공원,1,5.0,2515
0,30.0,4.0,1.0,3.0,3.0,5.0,5.0,5.0,6.0,2.0,1.0,4,제시,4,4.0,7756
1,20.0,3.0,2.0,1.0,6.0,6.0,1.0,7.0,6.0,9.0,3.0,6,수원화성,2,5.0,5117
1,20.0,2.0,1.0,1.0,5.0,6.0,6.0,2.0,3.0,1.0,0.0,28,용문사,1,4.0,6598
1,50.0,2.0,2.0,6.0,2.0,2.0,6.0,2.0,7.0,10.0,7.0,21,코스트코 일산점,4,3.0,8740
1,40.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,7.0,0.0,4,월미문화관,3,4.0,6868
